# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 5.500381801414047,2.0000000000000004,3.0,0.0,0.2,0.0,0,0.0,0.0,0.0
 5.530382441414048,2.0060001280000006,3.0,0.0,0.2,0.0,0,0.0,0.0,0.0
 5.5603869214140484,2.012001024000001,3.0,0.0,0.2,0.0,0,0.0,0.0,0.0
 5.590399081414048,2.0180034560000006,3.0,0.0,0.2,0.0,0,0.0,0.0,0.0
 5.620422761414048,2.0240081920000006,3.0,0.0,0.2,0.0,0,0.0,0.0,0.0
 5.650461801414048,2.0300160000000007,3.0,0.0,0.2,0.0,0,0.0,0.0,0.0
 5.680520041414047,2.0360276480000006,3.0,0.0,0.2,0.0,0,0.0,0.0,0.0
 5.710601321414048,2.0420439040000007,3.0,0.0,0.2,0.0,0,0.0,0.0,0.0
 5.740709481414047,2.0480655360000006,3.0,0.0,0.2,0.0,0,0.0,0.0,0.0
 5.770848361414048,2.054093312000001,3.0,0.0,0.2,0.0,0,0.0,0.0,0.0
 5.801021801414047,2.0601280000000006,3.0,0.0,0.2,0.0,0,0.0,0.0,0.0
 5.831233641414047,2.0661703680000008,3.0,0.0,0.2,0.0,0,0.0,0.0,0.0
 5.861487721414048,2.072221184000001,3.0,0.0,0.2,0.0,0,0.0,0.0,0.0
 5.8917878814140465,2.0782812160000006,3.0,0.0,0.2,0.0,0,0.0,0.0,0.0
 5.922137961414048,2.084351232000001,3.0,0.0,0.2,0.0,0,0.0,0.0,0.0
 5.952541801414048,2.0904320000000007,3.0,0.0,0.2,0.0,0,0.0,0.0,0.0
 5.983003241414048,2.096524288000001,3.0,0.0,0.2,0.0,0,0.0,0.0,0.0
 6.013526121414047,2.1026288640000006,3.0,0.0,0.2,0.0,0,0.0,0.0,0.0
 6.044114281414048,2.1087464960000006,3.0,0.0,0.2,0.0,0,0.0,0.0,0.0
 6.074771561414048,2.1148779520000005,3.0,0.0,0.2,0.0,0,0.0,0.0,0.0
 6.105501801414048,2.1210240000000007,3.0,0.0,0.2,0.0,0,0.0,0.0,0.0
 6.136308841414049,2.1271854080000008,3.0,0.0,0.2,0.0,0,0.0,0.0,0.0
